Venue,Place_id,Address,Map Link,Website,Facility Type,Floor Type,Alternate Address
Orangewood Roller Hockey Park (California Street Hocket Assoc.),ChIJv6Hm8MnXwoARfF3sExL6wcM,"1615 W Merced Ave, West Covina, CA 91790, USA",https://maps.app.goo.gl/gMY8BVXpYsuk1ypz8,http://www.calstreethockey.com/,Indoor,Sport Court,
Palisades Tahoe (High Camp Roller Rink),ChIJPSaP8OzZm4ARDxeFl_CIvjA,"1960 Squaw Valley Road, Olympic Valley, CA 96146, USA",https://maps.app.goo.gl/kGVHyaautXdRL1kF8,https://www.palisadestahoe.com/events-and-activities/activity-finder/roller-skating-at-high-camp,Outdoor,Cement,
Paradise Skate Roller Rink,ChIJGaiO5hZZhYAR-kND1ISLe2I,"1201 W 10th St, Antioch, CA 94509, USA",https://maps.app.goo.gl/ryFhvVrjNgQTU3dS8,https://paradiseskate.com/,Indoor,Wood,
Pigeon Roller Rink,ChIJ8zfQe7wv3YAREPD58B3D0fg,"6400 E Pacific Coast Hwy, Long Beach, CA 90803, USA",https://maps.app.goo.gl/ejtTG3hWkTmdFz5Q9,http://pigeonsrollerrink.com/,Outdoor - Covered,Cement,
Power Play Center,ChIJY1CWP0hnw4AR3blYomvsWVs,"10770 I Ave, Hesperia, CA 92345, USA",https://maps.app.goo.gl/mSEkVgmR5nsD2UpQA,https://www.hesperiaparks.com/parks-facilities/power-play-center/,Indoor,Cement,
Ringer's Roller Rink,ChIJWUkfRApR2YARyjtIK238wdk,"6060 Federal Blvd, San Diego, CA 92114, USA",https://maps.app.goo.gl/9D6tf8bxmUFybgZg8,http://ringersrollerrink.com/,Outdoor,Cement,
Roller King,ChIJgWxgkm0gm4ARqec1b0XukYY,"889 Riverside Ave, Roseville, CA 95678, USA",https://maps.app.goo.gl/KeRyzYP8FHM9bA9k7,http://www.rollerkingroseville.com/,Indoor,Wood,
Roller Skate Dance Plaza,ChIJNUJphre6woARXPTJ4WEQSDc,"33.9874061,-118.4776045",https://maps.app.goo.gl/BzYppwmA7uzwEC4n9,https://venicebeachsk8dance.org/,Outdoor,Cement,
Roller Towne,ChIJN4n_mB0mlYAR_QqDOMCHhXM,"520 S Linwood St, Visalia, CA 93277, USA",https://maps.app.goo.gl/1ViFLNedj1M5RtsV9,http://www.rollertowne.com/,Indoor,Cement,
Rollerama 34th St,ChIJAaxJB5dp6oARQBpj59KjoX4,"1004 34th St, Bakersfield, CA 93301, USA",https://maps.app.goo.gl/SLXHDKqVTktWV9wg9,https://rollerama.com/rollerama-34th-st/,Indoor,Wood,
Rollerama-West,ChIJ_QpxvjRC6oARCiMyeRA5icw,"7850 Brimhall Rd, Bakersfield, CA 93308, USA",https://maps.app.goo.gl/NJ5saMTdqGYWu7YTA,https://rollerama.com/page/,Indoor,Sport Court,
ROLLERLAND,ChIJ7f0urltCkYAR3tsVCxi1RDs,"1445 W 18th St, Merced, CA 95340, USA",https://maps.app.goo.gl/rpQ7wkjkFJdE8zti6,https://www.facebook.com/RollerLand/,Indoor,Cement,
Santa Cruz Roller Palladium,ChIJ8YWQIRxAjoARUOxMc396sFY,"1606 Seabright Ave, Santa Cruz, CA 95062, USA",https://maps.app.goo.gl/bKWhnWKpGbjw7stN8,http://www.santacruzrollerpalladium.com/,Indoor,Wood,
Skate Escape,ChIJ21KTnYOXhYARSkYCfeL9pYg,"5800 Northgate Dr Ste 56, San Rafael, CA 94903, USA",https://maps.app.goo.gl/kcSmw1epXLYPukAp8,https://www.skateescapemarin.com/,Indoor,Cement,
Skate Express,ChIJd_2rWB0zw4ARjXa76nr6tgw,"12356 Central Ave, Chino, CA 91710, USA",https://maps.app.goo.gl/2WEus3bJgn9EN14v7,http://www.skatechino.com/,Indoor,Wood,
Skate Farm Southbay,ChIJLS0fjea1woAR0iO0dFB1KAI,"1815 Hawthorne Blvd Suite 128, Redondo Beach, CA 90278, USA",https://maps.app.goo.gl/8qSbEADGk3Ezi4qk6,http://skatefarmsouthbay.com/,Indoor,Wood,
Skateland,ChIJMcShyFZq6oARkTdVx0wIOP0,"415 Ming Ave, Bakersfield, CA 93307, USA",https://maps.app.goo.gl/sGuNSjpA6xcewFix8,http://skatelandbakersfield.com/,Indoor,Wood,
Skateworld San Diego,ChIJv5QwCU1V2YARRt7VWFDo8CQ,"6907 Linda Vista Rd, San Diego, CA 92111, USA",https://maps.app.goo.gl/1HFbzSJwushz5MW87,http://skateworld.com/,Indoor,Wood,
Skating Plus,ChIJm8npsEVN6IARutSZxrN3Ab0,"1720 Mesa Verde Ave, Ventura, CA 93003, USA",https://maps.app.goo.gl/uXAEbxvxJtQTXEyq7,http://www.skatingplus.com/,Indoor,Wood,
Spo-Cha (Puente Hills Mall),ChIJuQxhA3gqw4ARXstFrtQw7f4,"33.9932236,-117.9287699",https://maps.app.goo.gl/KMwwdK6VZQmAay5u6,https://www.round1usa.com/spo-cha,Indoor,Sport Court,"1600 S Azusa Ave, City of Industry, CA 91748, USA"
Stockton Indoor Sports Complex,ChIJjTR4dchykIAR06U_Ko2zpHA,"3251 Ad Art Rd, Stockton, CA 95215, USA",https://maps.app.goo.gl/ywZtGi8wzu2jFhgr6,http://siscsports.com/,Indoor,Sport Court,
Sunrise Rollerland,ChIJr2tV4yDemoARvsbczsQ5UHY,"6001 Sunrise Vista Dr, Citrus Heights, CA 95610, USA",https://maps.app.goo.gl/VpKQcHGt8qqYkLwq5,http://www.sunriserollerland.com/,Indoor,Wood,
The Cage Roller Hockey Rink,ChIJDfu9TuWVwoARhZ7HguWrcAo,"11455 Magnolia Blvd, North Hollywood, CA 91601, USA",https://maps.app.goo.gl/3SEtSdW273HMrZxs9,http://www.cagehockey.com/,Outdoor,Cement,
The Golden Skate,ChIJXbaimdDyj4ARlGm_9-m0iEs,"2701 Hooper Dr, San Ramon, CA 94583, USA",https://maps.app.goo.gl/jGRpYdniTFAjDTPc9,http://www.thegoldenskate.com/,Indoor,Cement,
The Rink,ChIJWxn2nr7cmoARMix_27Jlqnk,"2900 Bradshaw Rd, Sacramento, CA 95827, USA",https://maps.app.goo.gl/PbFyHx4A1fd18h9x8,http://therinksacramento.com/,Indoor,Cement,
The Rinks Corona Inline,ChIJ5Ufe1ijP3IARqRt8NEDsXb8,"4325 Prado Rd #101, Corona, CA 92878, USA",https://maps.app.goo.gl/VDmnjMt7UiRCiajt9,http://www.coronainline.com/,Indoor,Sport Court,
The Rinks Irvine Inline,ChIJo7GWsCXc3IARjekKJP0cJzs,"3150 Barranca Pkwy, Irvine, CA 92606, USA",https://maps.app.goo.gl/u9Xc4MeqegeUC9gQ9,http://www.irvineinline.com/,Indoor,Sport Court,
The Wheelhouse Roller Skating,ChIJY2eLNuJl24AR-FuvZ4HcKJw,"2860 W Florida Ave, Hemet, CA 92545, USA",https://maps.app.goo.gl/MBbYWKz1aqUhvsz59,http://wheelhouseskate.com/,Indoor,Wood,
United Skates Clovis,ChIJGftgJmpclIAR8DV4MmVoyxQ,"2881 Peach Ave, Clovis, CA 93612, USA",https://maps.app.goo.gl/rxEDFz1DE9q7T1HFA,https://www.unitedskates.com/clovis,Indoor,Cement,
Viking Skate Country,ChIJ1SvEqyDt0lQRQwlxaMHxhBs,"735 Auditorium Dr, Redding, CA 96001, USA",https://maps.app.goo.gl/HrU4thnLKkeVr8bj7,http://www.vikingskatecountry.com/,Indoor,Cement,
